Question,Answer
"<p><span style=""background-color: rgb(34, 38, 74); color: rgb(238, 236, 246);"">Wachkörper: </span>Bundespolizei</p>","<ul><li><a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel10"" rel=""noopener noreferrer"" target=""_blank"" style=""background-color: rgb(40, 45, 88); color: rgb(105, 122, 180);"">Art. 10 Abs. 1 Z. 14 B-VG</a><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">, </span><a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel78d"" rel=""noopener noreferrer"" target=""_blank"" style=""background-color: rgb(40, 45, 88); color: rgb(105, 122, 180);"">Art 78d B-VG</a></li><li>Bund</li><li><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Innere Sicherheit</span></li><li>Unmittelbare Bundesverwaltung, BM für Inneres an der Spitze</li><li>im Bereich jeder Landespolizeidirektion sind Bezirkskommanden bzw. Stadtpolizeikommanden eingerichtet</li><li>Wachkörper Bundespolizei ist von Sicherheitsbehörden des Bundes zu unterscheiden!</li></ul>"
<p>3 Rechtsordnungen</p>,<ul><li>Staatsrecht (Staat)</li><li>Völkerrecht (Staatengemeinschaft)</li><li>Unionsrecht (EU)</li></ul>
"<p>(gesellschaftliche) <span style=""color: rgb(226, 148, 20); background-color: rgb(40, 45, 88);"">Norm</span></p>","<ul><li><span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">Immer verbunden mit einem Sollenssatz (= Reaktion auf tatsächliche Verhältnisse / auf einen Tatbestand)</span></li><li><span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">Durchsetzung erfolgt durch psychische Methoden, Belohnungen oder körperliche Gewalt</span></li></ul>"
<p>Staat und Gewalt</p>,<ul><li>Gewaltverbot: Gesellschaft frei von Gewalt.</li><li>Gewaltmonopol: Durchsetzung des Gewaltverbots</li><li>Rechtfertigung: Gewaltfreie und soziale Gesellschaft (körperliche und materielle Sicherheit)</li></ul>
<p>Rechtsnorm</p>,"<p>Normen des Staates, nur diese sind verbindlich (Rechtsmonopol)</p>"
<p>Rechtspositivismus</p>,"<ul><li>lat. posere = Gesetzt</li><li>Alleinige Rechtsordnung eines Staates</li><li>Alle erlassenen Rechtsvorschriften</li><li>Unabhängig von tatsächlicher Gerechtigkeit (diese ist subjektiv)</li><li>Rechtmäßigkeit = Der (Rechts)norm entsprechend.</li><li>Staatliches Recht gilt für alle gleich, Privilegierung/Diskriminierung verboten (Gleichheitssatz)</li></ul>"
<p>Forderungen des Konstitutionalismus (Verfassung im Materiellen Sinn)&nbsp;</p>,<ul><li>Rechtserzeugungsregeln</li><li>Gewaltenteilung</li><li>parlamentarische Demokratie</li><li>Freiheitsrechte gegenüber dem Staat</li></ul>
<p>Materielle vs Formelle Verfassung</p>,"<ul><li><strong>Materiell</strong>: Inhaltlich der Verfassung zugehörig (Organisation des Staates, Ausübung der Gewalt)</li><li><strong>Formell</strong>: Alle Gesetze mit Verfassungsrang, tatsächliches Verfassungsrecht</li></ul><p><br></p><p>Nicht immer deckungsgleich!</p>"
<p>Verfassungsgesetze vs einfache Gesetze</p>,"<p><strong>Verfassungsgesetze</strong></p><ul><li>Beschluss: Präsenzquorum 1/2, Konsensquorum 2/3 (<a href=""https://www.ris.bka.gv.at/eli/bgbl/1930/1/A44/NOR40045767"" rel=""noopener noreferrer"" target=""_blank"" style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">Art 44 Abs 1 B-VG</a>)</li><li>Müssen namentlich so bezeichnet werden (<a href=""https://www.ris.bka.gv.at/eli/bgbl/1930/1/A44/NOR40045767"" rel=""noopener noreferrer"" target=""_blank"">Art 44 Abs 1 B-VG</a>)</li><li>oder gesetzlich als Verfassungsrecht festgelegt sein (<a href=""https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&amp;Gesetzesnummer=10000138&amp;Artikel=149"" rel=""noopener noreferrer"" target=""_blank"">Art 149 Abs 1 B-VG</a>)</li></ul><p><br></p><p><strong>einfache Gesetze</strong></p><ul><li><span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">Beschluss</span>: Präsenzquorum 1/3, Konsensquorum &gt; 1/2 (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel31"" rel=""noopener noreferrer"" target=""_blank"">Art. 31 B-VG</a>)</li></ul>"
"<ol><li>B-VG</li><li><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">V-ÜG</span></li></ol>",<ol><li>Bundesverfassungsgesetz</li><li>Verfassungsüberleitungsgesetz</li></ol>
<p>Grundprinzipien der Bundesverfassung</p>,"<ul><li>Stehen auf höchster Stufe</li><li>Änderung (<strong>Gesamtänderung </strong><a href=""https://www.ris.bka.gv.at/eli/bgbl/1930/1/A44/NOR40045767"" rel=""noopener noreferrer"" target=""_blank"">Art 44 Abs 3 B-VG</a>) benötigt Konsensquorum von 2/3 und obligatorische Volksabstimmung</li></ul><p><br></p><p>Dazu zählen</p><ul><li>Demokratie</li><li>republikanisches Prinzip</li><li>Bundesstaat</li><li>Rechtsstaat (Gewaltentrennung, liberales Prinzip, Rechtsschutzsystem)</li></ul><p><br></p>"
<p>Fakultative Volksabstimmung</p>,<p>freiwillig</p>
<p>Verfassungsgeschichte in Österreich</p>,"<p>1867:&nbsp;&nbsp;Konstitutionelle Monarchie (""Dezemberverfassung"")</p><p>1918:&nbsp;&nbsp;Demokratische Republik Deutschösterreich (""Oktoberverfassung"",&nbsp;""Märzverfassung"" 1919)</p><p>1920:&nbsp;&nbsp;Demokratische Republik Österreich (Bundes-Verfassungsgesetz B-VG)</p><p>1934:&nbsp;&nbsp;Autoritärer Ständestaat auf föderativer Grundlage (Ständische Verfassung&nbsp;1934)</p><p>1938:&nbsp;&nbsp;Deutsches Reich ""Annexionstheorie"" oder ""Okkupationstheorie"" (eher&nbsp;Okkupation, sonst wären alle Staatsverträge ungültig gewesen)</p><p>1945:&nbsp;&nbsp;Demokratische Republik Österreich&nbsp;(Verfassungs-Überleitungsgesetz 1945 V-ÜG, Bundes-Verfassungsgesetz B-VG)</p><p>1995:&nbsp;&nbsp;EU-Beitritt (EU-Beitritts-BVG, EU-Beitrittsvertrag)</p>"
<p>Arten der Verfassungsänderungen</p>,"<p>Verfassungsmäßig: Kontinuität</p><p>Sonst: Diskontinuität, im rechtlichen Sinne Revolution genannt. (Gab es 3 mal: 1918, 1934, 1945)</p>"
<p>Österreichische Verfassungsordnung</p>,"<p>Verstreut über mehrere Gesetze:</p><p><br></p><ul><li>Verfassungs-Überleitungsgesetz 1945 (V-ÜG)</li><li>Bundes-Verfassunggesetz (B-VG)</li><li>weitere Bundesverfassungsgesetze:</li><li class=""ql-indent-1"">Staatsgrundgesetz 1867 (StGG 1867)</li><li class=""ql-indent-1"">Verbotsgesetz 1947</li><li class=""ql-indent-1"">Finanz-Verfassungsgesetz 1948 (F-VG 1948)</li><li class=""ql-indent-1"">Neutralitätsgesetz 1955</li><li class=""ql-indent-1"">EU-Beitritts-BVG</li><li class=""ql-indent-1"">BVG Staatsziele</li><li class=""ql-indent-1"">u.a.</li><li> einzelne Verfassungsbestimmungen in einfachen Gesetzen</li><li class=""ql-indent-1"">Zivildienstgesetz 1986 (ZDG)</li><li class=""ql-indent-1"">Datenschutzgesetz 2000 (DSG 2000)</li><li class=""ql-indent-1"">Parteiengesetz 2012 (PartG)</li><li class=""ql-indent-1"">Unvereinbarkeits- und Transparenz- Gesetz</li><li class=""ql-indent-1"">u.a.</li><li>Staatsverträge in Verfassungsrang</li><li class=""ql-indent-1"">Europäische Menschenrechtskonvention (EMRK)</li><li class=""ql-indent-1"">Zusatzprotokolle zur EMRK (ZPzEMRK)</li><li class=""ql-indent-1"">u.a.</li><li>einzelne Verfassungsbestimmungen in Staatsverträgen:</li><li class=""ql-indent-1"">Staatsvertrag von Saint-Germain-en-Laye 1919</li><li class=""ql-indent-1"">Staatsvertrag von Wien 1955</li><li class=""ql-indent-1"">Internationales Übereinkommen über die Beseitigung aller Formen rassischer Diskriminierung</li><li class=""ql-indent-1"">u.a.</li><li>Landesverfassungsgesetze und Landesverfassungsbestimmungen</li></ul>"
<p>Beziehung zwischen Recht und Politik</p>,<p>Politik ist die Vorstufe des Rechtes. Die politische (Entscheidungs-)Freiheit wird eingeschränkt durch</p><ul><li>Staatspolitische Grundsätze (präzise und unmittelbar zu befolgen)</li><li>Staatsziele (ohne präzise Anordnungen)</li></ul>
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Staatspolitische Grundsätze</span></p>","<p>sind <span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">präzise und unmittelbar zu befolgen.</span></p><p><br></p><ul><li>Antimonarchismus</li><li>Laizismus</li><li>Antifaschismus</li><li>Neutralität</li><li>Atomwaffen- und Atomenergiefreiheit</li></ul>"
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Staatspolitischer Grundsatz: </span>Antimonarchismus</p>",<ul><li>Österreich ist seit 1918 eine Republik. </li><li>Monarchie verboten (Habsburgergesetz und Adelsaufhebungsgesetz 1919; Staatsvertrag von Wien 1955)</li></ul>
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Staatspolitischer Grundsatz: </span>Laizismus</p>","<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Trennung von Staat und Kirche ( </span><a href=""https://www.jusline.at/gesetz/stgg/paragraf/artikel15"" rel=""noopener noreferrer"" target=""_blank"" style=""color: rgb(105, 122, 180); background-color: rgb(40, 45, 88);"">Art 15 StGG</a><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);""> )</span></p>"
"<p><span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">Staatspolitischer Grundsatz: Antifaschismus</span></p>",<p>In erster Linie gegen Nationalsozialismus. (V-ÜG 1945; Verbotsgesetz 1947 [Verbot von NSDAP u.ä.]; Staatsvertrag von Wien 1955 [gegen NSDAP und faschistische Organisationen])</p><p><br></p>
"<p><span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">Staatspolitischer Grundsatz: Neutralität</span></p>","<ul><li>Neutralitätsgesetz 1955</li><li>immerwährende Neutralität. </li><li>Keine Beteiligung, kein Beistand, keine Begünstigung einer Seite bei Konflikten. </li><li>Konkret: Keine militärischen Bündnisse, keine fremden Militärstützpunkte auf Staatsgebiet, Aufrechterhaltung und Verteidigung der Neutralität.</li></ul><p><br></p>"
"<p><span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">Staatspolitischer Grundsatz: </span><span style=""color: rgb(226, 148, 20); background-color: rgba(0, 0, 0, 0);"">Atomwaffen</span><span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">- </span><span style=""color: rgb(226, 148, 20); background-color: rgba(0, 0, 0, 0);"">und Atomenergiefreiheit</span></p>","<ul><li>BVG atomfreies Österreich (1999) </li><li>Verbietet Herstellung, Lagerung, Transport, Test und Verwendung von Atomwaffen, Errichtung und Inbetriebnahme von AKWs. </li><li>Erlaubt: Import von Atomstrom, Mitgliedschaft bei EURATOM.</li></ul><p><br></p>"
<p>StGG</p>,<p>Staatsgrundgesetz über die allgemeinen Rechte der Staatsbürger</p>
<p>Staatsziele</p>,"<p>Sind ""Verfassungsaufträge"", formuliert als ""Bund, Länder und Gemeinden bekennen sich ..."" oder ""die Republik bekennt sich ...""</p><ul><li><strong>Sozialstaat</strong></li><li><strong>Gleichstellung von Mann und Frau</strong></li><li><strong>Gleichbehandlung behinderter und nicht behinderter Menschen</strong></li><li><strong>Achtung der autochthonen Volksgruppen</strong></li><li><strong>Umfassende Landesverteidigung</strong></li><li><strong>Gesamtwirtschaftliches Gleichgewicht</strong></li><li><strong>Umweltschutz, Nachhaltigkeit, Tierschutz, Sicherstellung der Wasser- und Lebensmittelversorgung, Forschung</strong></li><li>Weiteres geplant: <strong>Wettbewerbsfähiger Wirtschaftsstandort</strong>, eventuell aber nicht mit Umweltschutz kompatibel.</li></ul>"
"<p>Staatsziel <span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Sozialstaat</span></p>","<p>Ziel ist soziale gerechte Gesellschaft, ausreichende Versorgung mit lebensnotwendigen Gütern und Leistungen.</p><p><br></p>"
"<p>Staatsziel <span style=""background-color: rgb(40, 45, 88); color: rgb(226, 148, 20);"">Gleichstellung von Mann und Frau</span></p>","<ul><li><span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">Gleichstellung durch Gleichheitssatz (</span><a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel7"" rel=""noopener noreferrer"" target=""_blank"" style=""color: rgb(105, 122, 180); background-color: rgb(40, 45, 88);"">Art 7 Abs 1 B-VG</a><span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">, </span><a href=""https://www.jusline.at/gesetz/stgg/paragraf/artikel2"" rel=""noopener noreferrer"" target=""_blank"" style=""color: rgb(105, 122, 180); background-color: rgb(40, 45, 88);"">Art 2 StGG</a><span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">).</span></li><li><span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">Tatsächliche Gleichstellung durch Förderung des jeweils benachteiligten Geschlechts, auch wenn dadurch zeitweise diskriminiert wird (=positive Diskriminierung) (</span><a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel7"" rel=""noopener noreferrer"" target=""_blank"" style=""color: rgb(105, 122, 180); background-color: rgb(40, 45, 88);"">Art 7 Abs 2 B-VG</a><span style=""color: rgb(238, 236, 246); background-color: rgb(40, 45, 88);"">)</span></li></ul>"
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Staatsziel Gleichbehandlung behinderter und nicht behinderter Menschen</span></p>","<ul><li>Niemand darf wegen Behinderung benachteiligt werden (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel7"" rel=""noopener noreferrer"" target=""_blank"" style=""color: rgb(105, 122, 180); background-color: rgba(0, 0, 0, 0);"">Art 7 Abs 1 B-VG</a>)</li><li>Anerkennung der Gebärdensprache (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel8"" rel=""noopener noreferrer"" target=""_blank"" style=""color: rgb(105, 122, 180); background-color: rgba(0, 0, 0, 0);"">Art 8 Abs 3 B-VG</a>)</li></ul>"
"<p>Staatsziel <span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Achtung der autochthonen Volksgruppen</span></p>","<ul><li>Mit eigener Sprache und Kultur</li><li>Erhaltung und Bestand ist zu fördern (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel8"" rel=""noopener noreferrer"" target=""_blank"" style=""background-color: rgba(0, 0, 0, 0); color: rgb(105, 122, 180);"">Art 8 Abs 2 B-VG</a>)</li><li>Volksgruppengesetz 1956 definiert 6: Kroaten, Slowenen, Ungarn, Tschechen, Slowaken und Roma.</li></ul><p><br></p>"
<p>Staatsziel Umfassende Landesverteidigung</p>,"<p><a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel9a"" rel=""noopener noreferrer"" target=""_blank"" style=""background-color: rgb(40, 45, 88); color: rgb(105, 122, 180);"">Art 9a B-VG</a></p><ul><li><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Umfassende (Militärische, geistige, zivile und wirtschaftliche) Landesverteidigung</span></li><li><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Bewahrung der Unabhängigkeit, Unverletzlichkeit des Bundesgebietes, Aufrechterhaltung der Neutralität, Wehrpflicht der männlichen Staatsbürger </span></li></ul>"
"<p>Staatsziel <span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Gesamtwirtschaftliches Gleichgewicht</span></p>","<ul><li>Gegen zu hohe Staatsverschuldung</li><li>Nachhaltig geordnete Haushalte: ausgewogenes Wirtschaftswachstum, wettbewerbsfähige soziale Marktwirtschaft, Preisstabilität, hohes Beschäftigungsniveau und sozialer Fortschritt (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel13"" rel=""noopener noreferrer"" target=""_blank"">Art. 13 Abs. 2 b-VG</a>)</li></ul>"
<p>Demokratie</p>,"<p>""Herrschaft des Volkes"". <a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel1"" rel=""noopener noreferrer"" target=""_blank"">Art. 1 B-VG</a>: ""Österreich ist eine demokratische Republik. Ihr Recht geht vom Volk aus."" (seit 1918); wichtigstes Grundprinzip der Verfassung;</p>"
<p>Plebiszitäre Demokratie&nbsp;</p>,<ul><li>direkte/unmittelbare Demokratie</li><li>Gesetzesentscheidungen über Volksabstimmung (Plebiszite)</li><li>Beispiel: Schweiz</li></ul>
<p>Parlamentarische Demokratie&nbsp;</p>,"<ul><li>indirekte/mittelbare/repräsentative Demokratie</li><li>Volk wählt Vertreter ins Parlament, diese entscheiden über Gesetze.</li><li>Volk entscheidet durch:</li><li class=""ql-indent-1"">Wahl der Abgeordneten</li><li class=""ql-indent-1"">Volksabstimmung (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel43"" rel=""noopener noreferrer"" target=""_blank"">Art. 43ff B-VG</a>)</li><li class=""ql-indent-1"">Volksbegehren (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel41"" rel=""noopener noreferrer"" target=""_blank"">Art. 41 B-VG</a>)</li><li class=""ql-indent-1"">Volksbefragung (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel49b"" rel=""noopener noreferrer"" target=""_blank"">Art. 49b B-VG</a>)</li><li>Beispiel: Österreich</li></ul>"
<p>Egalitäre Demokratie</p>,"<ul><li>Gleiches politisches Gewicht für alle Staatsbürger</li><li>Gleicher Zugang zu allen öffentlichen Ämtern (<a href=""https://www.jusline.at/gesetz/stgg/paragraf/artikel3"" rel=""noopener noreferrer"" target=""_blank"">Art. 3 StGG</a>)</li><li>Gleichheit aller Staatsbürger vor dem Gesetz (<a href=""https://www.jusline.at/gesetz/stgg/paragraf/artikel2"" rel=""noopener noreferrer"" target=""_blank"">Art. 2 StGG</a>, <a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel7"" rel=""noopener noreferrer"" target=""_blank"">Art 7 Abs 1 B-VG</a>)</li></ul>"
<p>Wahlrechtsgrundsätze</p>,"<p><a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel26"" rel=""noopener noreferrer"" target=""_blank"">Art. 26 B-VG</a>; Briefwahl: Art. 26 Abs. 6 B-VG</p><ul><li><strong>Gleiches Wahlrecht</strong>: Jede Stimme ist gleich gewichtet (egalitäre Demokratie)</li><li><strong>Unmittelbares Wahlrecht: </strong>(keine Wahlmänner, ...)</li><li><strong>Persönliches Wahlrecht:</strong> keine Stellvertretung (Ausnahme: beeinträchtigt wie z.B. Blind)</li><li><strong>Freies</strong> <strong>Wahlrecht</strong>: Kein Zwang; Freiheit der Wahlparteien zu werben</li><li><strong>Geheimes Wahlrecht: </strong>Stimme kann und muss geheim abgegeben werden</li><li><strong>Verhältniswahlrecht</strong>: Stimmenanteil bestimmt Mandatsverteilung. Abweichung durch Bürgerzahlprinzip und 4% Klausel.</li></ul>"
<p>PartG</p>,<p>Parteiengesetz 2012</p>
<p>Politische Partei</p>,"<p>Dauerhaft organisierte Verbindung die durch gemeinsame Tätigkeiten auf Beeinflussung der staatlichen Willensbildung abzielt (<a href=""https://www.jusline.at/gesetz/partg/paragraf/1"" rel=""noopener noreferrer"" target=""_blank"">§ 1 Abs. 2 PartG</a>). </p><p>Sind juristische Personen.</p>"
<p>Wahlpartei</p>,"<p>Gruppen von Personen auf gemeinsamer Liste für eine Wahlkandidatur. Besteht nur für die Wahl und ist keine juristische Person. </p><p><br></p><p>Politische Parteien treten als Wahlparteien auf, reine Wahlparteien selten (kommen teilweise auf kommunaler Ebene vor)</p>"
<p>Gründung einer politischen Partei</p>,"<p><a href=""https://www.jusline.at/gesetz/partg/paragraf/1"" rel=""noopener noreferrer"" target=""_blank"" style=""background-color: rgb(40, 45, 88); color: rgb(105, 122, 180);"">§ 1 Abs. 4 PartG</a></p><ul><li>Satzung muss beschlossen werden und beim BMI hinterlegt werden (Parteienverzeichnis)</li><li>Jeder kann Partei gründen (Gründungsfreiheit)</li><li>Darf nicht gegen das Gesetz verstoßen (z.B. Verbotsgesetz 1947)</li></ul><p><br></p>"
<p>Republik und Bundespräsident</p>,"<p>von lat. res publica</p><p>Staatsoberhaupt: (Bundes)Präsident (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel60"" rel=""noopener noreferrer"" target=""_blank"">Art. 60ff B-VG</a>)</p><ul><li>Vom Volk gewählt</li><li>Dem Volk verantwortlich</li><li>Funktionsperiode: 2x 6 Jahre</li></ul>"
<p>Unterscheidung von Rechtsnormen</p>,<p><strong>Nach Adressatenkreis</strong></p><ol><li>Generell: An die Allgemeinheit bzw. nach Geltungsmerkmalen bestimmter Kreis.</li><li>Individuell: An konkreten und namentlich bestimmten Kreis</li></ol><p><br></p><p><strong>Nach Struktur des Inhalts</strong></p><ol><li>Abstrakt: abstrakte Idee ohne konkreten Sachverhalt</li><li>Konkret: bestimmter und konkreter Sachverhalt</li></ol><p><br></p><p>-&gt; generell-abstrakt oder individuell-konkret</p>
<p>Gewaltenteilung im Konstitutionalismus</p>,"<p>Staatsgewalt geteilt in</p><ul><li>Gesetzgebung (Legislative)</li><li>Vollziehung (Exekutive)</li></ul><p><br></p><p>Vollziehung wiederum geteilt in (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel94"" rel=""noopener noreferrer"" target=""_blank"" style=""background-color: rgb(40, 45, 88); color: rgb(105, 122, 180);"">Art. 94 Abs. 1 B-VG</a>)</p><ul><li>Verwaltung (Administrative)</li><li>Gerichtsbarkeit (Judikative)</li></ul><p><br></p><p>Teilgewalten kontrollieren sich gegenseitig.</p>"
<p>Gewaltenteilung im materiellen Sinn</p>,"<ul><li><strong>Gesetzgebung:</strong> Erlass von generell-abstrakten Rechtsnormen (Parlament)</li><li><strong>Vollziehung:</strong> Umsetzung der generell-abstrakten Rechtsnormen und Erlass individuell-konkreter Rechtsnormen (Regierung)</li><li><strong>Verwaltung: </strong>Daseinsvorsorge - Schulen, Infrastruktur, Gesundheitswesen, .... </li><li><strong>Gerichtsbarkeit</strong>: Streitentscheidung </li></ul>"
"<p><span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Gewaltenteilung im formellen Sinn</span></p>",<ul><li>Zuordnung von Aufgaben an bestimmte Organe</li><li>B-VG verwendet formelle Gewaltenteilung</li></ul>
<p>Regierung</p>,<ul><li>An der Spitze der Vollziehung (Exekutive)</li><li>Leitet den Staatsapparat</li><li>Dem Parlament untergeordnet: braucht das politische Vertrauen (sonst Misstrauensvotum) und ist dem Parlament verantwortlich</li></ul>
<p>Regierungssystem Österreich (Bund und Länder)</p>,<ul><li>Mischsystem aus parlamentarischem und präsidentiellem Regierungssystem</li><li>In den Ländern rein parlamentarisch</li><li>Bundespräsident ernennt und entlässt Bundesregierung</li><li>Parlament kann Regierung auflösen (Misstrauensvotum)</li></ul>
"<p>Hierarchische Vollziehung (Aufgabe der Regierung, Ausnahmen aus Hierarchie)</p>","<ul><li>Regierung leitet und beaufsichtigt andere Vollziehungsorgane und erteilt (bindend) Weisungen (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel20"" rel=""noopener noreferrer"" target=""_blank"">Art 20 Abs 1 B-VG</a>) an sie</li><li>Regierung ist dem Parlament für das Handeln der gesamten Vollziehung verantwortlich</li><li>Ausnahme aus der Weisungsbindung: unabhängige Richter, weisungsfreie Teile der Justizverwaltung, einzelne weisungsfreie Verwaltungsbehörden, Selbstverwaltung der Gemeinden</li></ul><p><br></p>"
<p>Aufgaben der Gerichtsbarkeit</p>,<ul><li>Verhängung von Geld- und Freiheitsstrafen</li><li>Entscheidung zivilrechtlicher und verwaltungsrechtlicher Streitigkeiten</li></ul>
<p>Freie Gerichtsbarkeit</p>,"<ul><li>Getrennt von Verwaltung <a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel94"" rel=""noopener noreferrer"" target=""_blank"">Art. 94 Abs. 1 B-VG</a></li><li>Entscheidung und Schlichtung aller Rechtsstreitigkeiten durch unabhängige Richter</li><li>Gegenteil: <span style=""background-color: rgb(40, 45, 88); color: rgb(238, 236, 246);"">Kabinettsjustiz</span></li></ul>"
<p>Richterliche Privilegien</p>,"<ul><li>Weisungsfreiheit (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel87"" rel=""noopener noreferrer"" target=""_blank"">Art. 87 Abs 1 B-VG</a>)</li><li>Unversetzbarkeit/Unabssetzbarkeit (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel88"" rel=""noopener noreferrer"" target=""_blank"">Art 88 B-VG</a>); auf Lebenszeit bestellt</li></ul>"
<p>Verwaltung materiell vs formell </p>,"<ul><li>Im materiellen Sinn: Daseinsvorsorge: Sicherheit, Schulen, Straßen, Gesundheit, ...</li><li>Formell: Das was nicht Gerichtsbarkeit ist (Subtraktionsbegriff)</li></ul>"
<p>Gesetzgebung</p>,"<ul><li>Alles Handeln, welches das B-VG dem Parlament zuweist.</li><li>Alles was die Rechtsform ""Gesetz"" (Gesetz im formellen Sinn) hat</li><li class=""ql-indent-1"">Auch individuell-konkrete Gesetze (Einzelfallgesetze) wie Bundesgesetz über die Enteignung von Hitlers Geburtshaus</li></ul>"
<p>Justiz (formell)</p>,<p>Das Handeln das den Richtern zugewiesen ist.</p>
<p>Justizverwaltung</p>,"<ul><li>Handlungen außerhalb der rechtsprechenden Tätigkeit</li><li>Organisatorisches Umfeld der Richter</li><li>= weisungs<strong>abhängige</strong> Vollziehung</li><li class=""ql-indent-1"">Ausnahme: Verwaltung die (durch das Gesetz) Richtersenaten oder Kommissionen zugewiesen sind, diese sind weisungsfrei.</li></ul>"
<p>Verbot wechselseitiger Instanzenzüge</p>,"<ul><li>Über eine Sache darf nicht sowohl ein ordentliches Gericht als auch eine Verwaltungsbehörde entscheiden (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel94"" rel=""noopener noreferrer"" target=""_blank"">Art. 94 Abs 1. B-VG</a>)</li><li>Ausnahme: Gesetzgeber dürfen in Einzelfällen einen Instanzenzug von einer Verwaltungsbehörde an ein ordentliches Gericht vorsehen (<a href=""https://www.jusline.at/gesetz/b-vg/paragraf/artikel94"" rel=""noopener noreferrer"" target=""_blank"">Art. 94 Abs 2. B-VG</a>)</li></ul>"
<p>Bescheid</p>,<p>Verwaltung erlässt als <strong>individuell-konkrete </strong>Rechtsnormen <strong>Bescheide</strong></p>
<p>Urteil und Beschluss</p>,<p>Gerichte erlassen <strong>individuell-konkrete</strong> Urteile oder Beschlüsse</p>
<p>Verordnung</p>,<p>Die Verwaltung erlässt als <strong>generelle </strong>(abstrakte oder konkrete) Rechtsnormen <strong>Verordnungen. </strong>Diese gelten als <strong>Gesetze im materiellen Sinn</strong></p>
<p>Gesetz im materiellen Sinn</p>,<p>jede generell-abstrakte Regelung mit Außenwirkung (beeinflusst nicht nur den Träger öffentlicher Gewalt der die Maßnahme gesetzt hat) </p>
